,,Rotation axis direction vector (?),,,,Pivot point on axis (mm),,,
Joint,Axis,X,Y,Z,Diff,X,Y,Z,Diff
Elbow,Flexion,-0.62,0.07,-0.78,-,19.2,216.54,7.06,-
Elbow,Pronation,-0.07,-1,-0.06,-,9.54,26.5,-3.31,-
Wrist,Flexion,-0.98,-0.16,-0.07,-,32.26,-9.16,-10.61,-
Wrist,Abduction,-0.11,0.04,0.99,-,30.53,-16.03,-6.55,-
CMC 1,Flexion,-0.27,0.64,-0.72,-,48.54,-37.82,-6.63,-
CMC 1,Abduction,-0.78,-0.61,-0.13,-,49.16,-39.46,-13.15,-
MCP 1,Flexion,-0.67,-0.07,0.74,13,68.92,-64.16,-3.54,3
IP 1,Flexion,-0.36,-0.25,0.9,17,88.26,-89.46,4.58,1
MCP 2,Flexion,-0.99,-0.11,-0.09,27,47.3,-92.88,0.29,10
MCP 2,Abduction,0,0.42,0.91,-,47.24,-93.18,0.05,-
PIP 2,Flexion,-0.99,0.11,-0.07,6,52.99,-134.3,2.76,4
DIP 2,Flexion,-0.96,0.17,-0.21,16,49.47,-155.97,-0.29,5
MCP 3,Flexion,-0.99,0.06,-0.08,25,31.83,-92.51,0.73,3
MCP 3,Abduction,-0.02,-0.2,-0.98,-,28.71,-95.88,-3.01,-
PIP 3,Flexion,-0.99,0.1,-0.12,9,42.74,-137.97,-6.01,4
DIP 3,Flexion,-0.97,0.19,-0.14,9,33.06,-163.59,-19.28,3
MCP 4,Flexion,-0.97,0.22,-0.11,9,12.12,-86.07,-1.98,3
MCP 4,Abduction,-0.26,-0.22,-0.94,-,7.05,-85.94,-2.27,-
PIP 4,Flexion,-0.88,0.36,-0.32,23,-2.65,-125.6,1.48,18
DIP 4,Flexion,-0.92,0.18,-0.35,23,-2.5,-152.19,-6.44,8
MCP 5,MCP5f,-0.91,0.33,-0.24,24,-2.44,-79.11,-3.2,6
MCP 5,MCP5a,-0.01,-0.31,-0.95,-,-6.01,-79.66,1.68,-
PIP 5,PIP5,-0.84,0.28,-0.47,28,-13.57,-112.38,0.66,5
DIP 5,DIP5,-0.91,0.28,-0.3,19,-17.2,-129.98,-9.24,14
