Segment,Mass(g),CoMX(mm),CoMY(mm),CoMZ(mm),IX(mm2*g),IY(mm2*g),IZ(mm2*g)
MC1,18.55,71.08,-42.11,-8.64,1231.26,1231.26,3670.68
PP1,8.75,87.05,-73.02,0.99,437.68,437.68,783.72
DP1,10.08,99.06,-99.24,1.91,504.37,504.37,1116.6
PP2,13.31,51.51,-109.73,8.18,630.12,630.12,2538.93
MP2,6.74,45.29,-143.67,6.02,291.4,291.4,491.56
DP2,*,*,*,*,*,*,*
PP3,14.96,28.81,-109.22,4.65,644.11,644.11,4136.94
MP3,6.41,22.25,-148.3,-7.79,228.85,228.85,551.21
DP3,5.84,20.89,-170.23,-23.58,208.53,208.53,434.72
PP4,9.91,0.62,-100.61,6.52,348.95,348.95,1828.09
MP4,5.77,-6.53,-137.14,1.32,167.42,167.42,567.28
DP4,4.83,-5.78,-164.5,-8.23,140,140,352.76
PP5,6.5,-12.14,-91.16,3.17,168.22,168.22,947.9
MP5,3.49,-19.1,-121.99,-1.49,78.02,78.02,219.69
DP5,2.66,-19.13,-141.74,-9.28,59.28,59.28,108.9
Palm,332,,,,,,
